# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.0,0,3.0,0,0.0,0.0,0.0799274629659606
 0.08890588281997949,1.0118563839999999,3.0,0.0,0.26671764845993845,2.9999999999999996,0,0.0071060216565499434,0.0,0.5910486867025218
 0.12497218890617237,1.023427072,3.0,0.0,0.3749165667185171,3.0,0,0.02842296450300541,0.0,1.3081755564468873
 0.15212794615060035,1.034714368,3.0,0.0,0.456383838451801,3.0,0,0.06394746234697157,0.0,2.2141602030201954
 0.17458632248833222,1.045720576,3.0,0.0,0.5237589674649966,2.9999999999999987,0,0.11367390545842793,0.0,3.294301078603428
 0.19398969044771436,1.056448,3.0,0.0,0.581969071343143,3.0,0,0.1775944414555597,0.0,4.542080068115608
 0.21118545404454364,1.066898944,3.0,0.0,0.6335563621336309,3.0,0,0.25569897654474594,0.0,5.955411019836993
 0.22667996823716008,1.0770757119999999,3.0,0.0,0.6800399047114802,3.0000000000000036,0,0.34797517711447457,0.0,7.535057000459728
 0.2408050497809382,1.0869806080000002,3.0,0.0,0.7224151493428146,3.0,0,0.45440847168298437,0.0,9.283865972440488
 0.25379248215815986,1.0966159359999998,3.0,0.0,0.7613774464744796,3.0,0,0.5749820531992444,0.0,11.206375998797169
 0.2658119636133782,1.1059839999999999,3.0,0.0,0.7974358908401346,2.9999999999999907,0,0.7096768816969912,0.0,13.308612428210504
 0.2769923031421633,1.115087104,3.0,0.0,0.8309769094264897,3.0,0,0.8584716873013931,0.0,15.597997302545298
 0.2874341107106114,1.123927552,3.0,0.0,0.8623023321318343,3.0000000000000107,0,1.0213429735877444,0.0,18.083332042976405
 0.2972178191158801,1.132507648,3.0,0.0,0.8916534573476402,3.0,0,1.1982650212918766,0.0,20.774833606098213
 0.3064089815915975,1.140829696,3.0,0.0,0.9192269447747926,3.000000000000006,0,1.3892098923715201,0.0,23.684214230529154
 0.31506189868024337,1.148896,3.0,0.0,0.9451856960407301,2.999999999999994,0,1.594147434418015,0.0,26.824800596899564
 0.3232221774569314,1.156708864,3.0,0.0,0.969666532370794,2.9999999999999862,0,1.8130452854177825,0.0,30.21169189893299
 0.3309285844408126,1.164270592,3.0,0.0,0.9927857533224377,3.000000000000007,0,2.0458688788625867,0.0,33.861959037045814
 0.3382144171971384,1.171583488,3.0,0.0,1.0146432515914152,3.0000000000000075,0,2.2925814492080585,0.0,37.7948894705186
 0.3451085394480989,1.178649856,3.0,0.0,1.0353256183442965,2.999999999999976,0,2.5531440376793526,0.0,42.032284550935984
 0.3516361756133746,1.185472,3.0,0.0,1.0549085268401237,3.0,0,2.827515498423203,0.0,46.59881866441789
 0.35781952993094157,1.192052224,3.0,0.0,1.0734585897928246,3.000000000000009,0,3.1156525050053507,0.0,51.522472463370356
 0.3636782754028622,1.1983928320000001,3.0,0.0,1.0910348262085865,3.0000000000000093,0,3.4175095572522762,0.0,56.83505611690882
 0.3692299446144639,1.2044961280000002,3.0,0.0,1.1076898338433918,3.00000000000003,0,3.7330389884361748,0.0,62.57284315298251
 0.3744902455338456,1.210364416,3.0,0.0,1.1234707366015368,3.0,0,4.062190972802134,0.0,68.77734149751161
 0.3794733192202056,1.2160000000000002,3.0,0.0,1.1384199576606169,2.999999999999989,0,4.404913533436182,0.0,75.4962362724008
 0.3841919520239851,1.2214051840000002,3.0,0.0,1.1525758560719555,3.0000000000000235,0,4.761152550473019,0.0,82.78454954481703
 0.38865775175596334,1.2265822720000001,3.0,0.0,1.16597325526789,2.999999999999975,0,5.130851769642203,0.0,90.7060765942906
 0.39288129504978986,1.2315335680000001,3.0,0.0,1.1786438851493697,3.0000000000000133,0,5.513952811151333,0.0,99.33517792939205
 0.3968722514865457,1.236261376,3.0,0.0,1.1906167544596373,3.000000000000028,0,5.910395178904928,0.0,108.75903351742608
 0.4006394888175652,1.240768,3.0,0.0,1.2019184664526958,2.9999999999999853,0,6.320116270057379,0.0,119.08050388209962
 0.40419116269408956,1.245055744,3.0,0.0,1.2125734880822687,2.999999999999969,0,6.743051384898786,0.0,130.4217970162615
 0.40753479360663186,1.2491269120000001,3.0,0.0,1.2226043808198956,3.0,0,7.179133737071676,0.0,142.92921837344778
 0.41067733319480887,1.2529838080000002,3.0,0.0,1.2320319995844267,3.0,0,7.628294464117432,0.0,156.77939597019898
 0.4136252216681183,1.2566287360000001,3.0,0.0,1.240875665004355,3.0000000000000187,0,8.0904626383504,0.0,172.18754374002532
 0.4163844377495393,1.260064,3.0,0.0,1.2491533132486181,3.00000000000002,0,8.565565278058259,0.0,189.4185862353394
 0.41896054229485624,1.2632919040000001,3.0,0.0,1.2568816268845688,2.9999999999999782,0,9.053527359026623,0.0,208.80237098002294
 0.42135871653497325,1.266314752,3.0,0.0,1.2640761496049198,2.999999999999954,0,9.55427182638627,0.0,230.7548346654791
 0.4235837957240575,1.2691348480000002,3.0,0.0,1.2707513871721725,2.999999999999975,0,10.067719606781008,0.0,255.8080311061383
 0.42564029884398863,1.271754496,3.0,0.0,1.2769208965319658,3.0,0,10.593789620854215,0.0,284.6536738324903
 0.4275324549083963,1.274176,3.0,0.0,1.282597364725189,3.0000000000000293,0,11.132398796052287,0.0,318.20786467359716
 0.4292642263222037,1.2764016640000002,3.0,0.0,1.287792678966611,2.999999999999968,0,11.683462079742707,0.0,357.71009549597255
