# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.0,0,1.0,0,0.0,0.0,0.0
 0.17381651404597098,1.0151060902775466,3.0,0.0,0.17381651404597098,1.0,0,0.0,0.0,0.0
 0.2455645675897709,1.0301509784277756,3.0,0.0,0.24556456758977094,1.0000000000000004,0,0.0,0.0,0.0
 0.3004500058326926,1.0451351030024325,3.0,0.0,0.3004500058326926,0.9999999999999994,0,0.0,0.0,0.0
 0.34658015682743376,1.0600589025532643,3.0,0.0,0.34658015682743376,1.0,0,0.0,0.0,0.0
 0.3870989941397864,1.0749228156320172,3.0,0.0,0.3870989941397864,1.0,0,0.0,0.0,0.0
 0.42362077567191603,1.089727280790438,3.0,0.0,0.423620775671916,0.9999999999999984,0,0.0,0.0,0.0
 0.4571055383175142,1.1044727365802722,3.0,0.0,0.45710553831751416,1.0,0,0.0,0.0,0.0
 0.48817951934358417,1.1191596215532664,3.0,0.0,0.4881795193435841,1.0,0,0.0,0.0,0.0
 0.5172782119153433,1.1337883742611674,3.0,0.0,0.5172782119153433,1.000000000000002,0,0.0,0.0,0.0
 0.5447190711838924,1.1483594332557212,3.0,0.0,0.5447190711838924,1.0,0,0.0,0.0,0.0
 0.5707420382075855,1.1628732370886745,3.0,0.0,0.5707420382075855,1.0,0,0.0,0.0,0.0
 0.5955337510364519,1.1773302243117734,3.0,0.0,0.5955337510364519,1.0,0,0.0,0.0,0.0
 0.6192428174420173,1.1917308334767638,3.0,0.0,0.6192428174420173,1.0,0,0.0,0.0,0.0
 0.6419898801934387,1.206075503135393,3.0,0.0,0.6419898801934387,1.0,0,0.0,0.0,0.0
 0.6638744939209624,1.220364671839407,3.0,0.0,0.6638744939209624,1.0,0,0.0,0.0,0.0
 0.684979967795485,1.2345987781405519,3.0,0.0,0.684979967795485,1.0,0,0.0,0.0,0.0
 0.7053768646483582,1.2487782605905742,3.0,0.0,0.7053768646483582,1.0,0,0.0,0.0,0.0
 0.7251255860073067,1.26290355774122,3.0,0.0,0.7251255860073067,1.0,0,0.0,0.0,0.0
 0.7442783191041324,1.2769751081442364,3.0,0.0,0.7442783191041324,1.0,0,0.0,0.0,0.0
 0.7628805284595603,1.290993350351369,3.0,0.0,0.7628805284595604,1.000000000000006,0,0.0,0.0,0.0
 0.7809721159098635,1.3049587229143647,3.0,0.0,0.7809721159098635,0.9999999999999939,0,0.0,0.0,0.0
 0.798588334982386,1.3188716643849698,3.0,0.0,0.798588334982386,1.0,0,0.0,0.0,0.0
 0.8157605203917755,1.3327326133149302,3.0,0.0,0.8157605203917755,1.0,0,0.0,0.0,0.0
 0.832516676416746,1.3465420082559925,3.0,0.0,0.832516676416746,1.0,0,0.0,0.0,0.0
 0.8488819561751835,1.360300287759903,3.0,0.0,0.8488819561751835,1.0,0,0.0,0.0,0.0
 0.8648790555660468,1.3740078903784085,3.0,0.0,0.8648790555660468,1.0,0,0.0,0.0,0.0
 0.8805285397569518,1.3876652546632549,3.0,0.0,0.8805285397569517,0.9999999999999929,0,0.0,0.0,0.0
 0.8958491158294334,1.4012728191661887,3.0,0.0,0.8958491158294333,1.0,0,0.0,0.0,0.0
 0.9108578620607677,1.4148310224389562,3.0,0.0,0.9108578620607676,1.0,0,0.0,0.0,0.0
 0.9255704219920857,1.4283403030333037,3.0,0.0,0.9255704219920856,1.0,0,0.0,0.0,0.0
 0.9400011696811639,1.441801099500978,3.0,0.0,0.9400011696811638,1.0,0,0.0,0.0,0.0
 0.9541633512074599,1.455213850393725,3.0,0.0,0.9541633512074598,1.0,0,0.0,0.0,0.0
 0.9680692064757471,1.4685789942632912,3.0,0.0,0.9680692064757469,0.999999999999992,0,0.0,0.0,0.0
 0.9817300745738853,1.481896969661423,3.0,0.0,0.9817300745738851,1.0,0,0.0,0.0,0.0
 0.9951564853226518,1.4951682151398664,3.0,0.0,0.9951564853226516,1.0,0,0.0,0.0,0.0
 1.0084135448142666,1.5083931692503683,3.0,0.0,1.0,0.36535362011553196,0,0.0,0.0,0.0
 1.0215926461085734,1.521572270544675,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.0347263331384307,1.5347059575745323,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.0478150444555856,1.5477946688916873,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.0608592186117842,1.560838843047886,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.073859294158773,1.5738389185948747,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.0868157096482982,1.5867953340843999,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.099728903632106,1.5997085280682077,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.1125993146619433,1.612578939098045,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.1254273812895557,1.6254070057256573,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.1382135420666901,1.6381931665027918,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.150958235545093,1.6509378599811946,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.1636619002765105,1.6636415247126122,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
 1.1763249748126887,1.6763045992487904,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0
